w and h;memory;operations
569;5957430;19107020
570;5980440;19064220
571;6003494;19370604
572;6026592;19159712
573;6049734;19475697
574;6072920;19313952
575;6096150;19624750
576;6119424;19611648
577;6142742;19895537
578;6166104;19768756
579;6189510;19985343
580;6212960;19903280
581;6236454;20218800
582;6259992;20219844
583;6283574;20319299
584;6307200;20413136
585;6330870;20584980
586;6354584;20585008
587;6378342;20590786
588;6402144;20698776
589;6425990;21017876
590;6449880;20952080
591;6473814;21105792
592;6497792;21018368
593;6521814;21403149
594;6545880;21240252
595;6569990;21539595
596;6594144;21551360
597;6618342;21663339
598;6642584;21542352
599;6666870;21830555
600;6691200;21819600
601;6715574;22288085
602;6739992;22033200
603;6764454;22256730
604;6788960;22155928
605;6813510;22490270
606;6838104;22544412
607;6862742;22569474
608;6887424;22613952
609;6912150;22922151
610;6936920;22862800
611;6961734;23114741
612;6986592;23099328
613;7011494;23398210
614;7036440;23221480
615;7061430;23432730
616;7086464;23432640
617;7111542;23699587
618;7136664;23621196
619;7161830;23855641
620;7187040;23793120
621;7212294;24117156
622;7237592;24011688
623;7262934;24225978
624;7288320;24306048
625;7313750;24623125
626;7339224;24557980
627;7364742;24596583
628;7390304;24671608
629;7415910;24915319
630;7441560;24910200
631;7467254;25272812
632;7492992;24970320
633;7518774;25363044
634;7544600;25150780
635;7570470;25396190
636;7596384;25526496
637;7622342;25779390
638;7648344;25822412
639;7674390;25853940
640;7700480;25797120
641;7726614;26258565
642;7752792;26155080
643;7779014;26362357
644;7805280;26322856
645;7831590;26643660
646;7857944;26529928
647;7884342;26701043
648;7910784;26705376
649;7937270;27209325
650;7963800;27120600
651;7990374;27301638
652;8016992;27146672
653;8043654;27506972
654;8070360;27413064
655;8097110;27725495
656;8123904;27611040
657;8150742;28072296
658;8177624;27920256
659;8204550;28172909
660;8231520;28108080
661;8258534;28587589
662;8285592;28340220
663;8312694;28534857
664;8339840;28541376
665;8367030;28945455
666;8394264;28944360
667;8421542;29145899
668;8448864;29044640
669;8476230;29339664
670;8503640;29134280
671;8531094;29545472
672;8558592;29457792
673;8586134;29984169
674;8613720;29740924
675;8641350;29902500
676;8669024;30049552
677;8696742;30257838
678;8724504;30238800
679;8752310;30550247
680;8780160;30545600
681;8808054;30861558
682;8835992;30609524
683;8863974;30992491
684;8892000;30886704
685;8920070;31298335
686;8948184;31181444
687;8976342;31416510
688;9004544;31343904
689;9032790;31779436
690;9061080;31813140
691;9089414;32074838
692;9117792;31885976
693;9146214;32243904
694;9174680;32232136
695;9203190;32372405
696;9231744;32408544
697;9260342;32854489
698;9288984;32646856
699;9317670;32836923
700;9346400;32838400
701;9375174;33278573
702;9403992;33132996
703;9432854;33370707
704;9461760;33401984
705;9490710;33753285
706;9519704;33573124
707;9548742;33822880
708;9577824;33920280
709;9606950;34300711
710;9636120;34133960
711;9665334;34493454
712;9694592;34195936
713;9723894;34745916
714;9753240;34773228
715;9782630;35044295
716;9812064;35096888
717;9841542;35203983
718;9871064;35088660
719;9900630;35352511
720;9930240;35323200
721;9959894;36037022
722;9989592;35793872
723;10019334;35995278
724;10049120;35932120
725;10078950;36317425
726;10108824;36382764
727;10138742;36633530
728;10168704;36414560
729;10198710;36990918
730;10228760;36771560
731;10258854;37121642
732;10288992;37001136
733;10319174;37514207
734;10349400;37316560
735;10379670;37529835
736;10409984;37577216
737;10440342;38018882
738;10470744;37883016
739;10501190;38180435
740;10531680;38078920
